Año,Tigre de Bengala,Rinoceronte de Java,Gorila de montaña,Elefante asiático,Leopardo de Amur,Orangután de Borneo,Lince ibérico,Cóndor de California,Vaquita marina,Oso polar,Pangolín malayo,Tortuga carey,Atún rojo del Atlántico,Ajolote,Iguana de Ricord,Cacatúa de las Filipinas,Gato de cabeza plana,Mono narigudo,Canguro arborícola de Matschie,Delfín del río Irawadi,Tiburón martillo gigante,Geco de cola de hoja satánico,Pez napoleón,Rana dorada de Panamá,Ciempiés gigante amazónico,Águila monera,Caracol tigre de Borneo,Murciélago de la isla de Navidad,Langur de Delacour,Pez sierra verde,Cangrejo de los cocoteros,Pato serrucho brasileño,Salamandra gigante china,Gacela de Cuvier,Pez ángel de Clarión,Tortuga gigante de Aldabra,Mono araña de cabeza negra,Pez payaso de Mauritania,Tortuga de caparazón blando de Shanghái,Loro orejiamarillo,Pez guitarra común,Cerceta pardilla,Pez sapo de Borneo,Tortuga estrellada de Birmania,Pez loro bicolor,Gorrión de Worthen,Pez ángel emperador,Tortuga de caja de Indochina,Pez cirujano de aleta amarilla,Pez ballesta payaso,Pez mariposa de bandas de cobre,Pez león rojo,Pez escorpión de aletas voladoras,Pez piedra,Ocelote,Zorro de Darwin,Gavial del Ganges,Pez loro azul,Caimán del Orinoco,Tapir malayo,Lobo etíope,Mofeta moteada pigmea,Tortuga mapa de Barbour,Tiburón duende,Iguana azul,Gacela dama,Pato eider de Steller,Caballo de Przewalski,Guacamayo de Spix,Gato de Pallas,Dugongo,Zorro isleño,Salamandra de cueva olm,Tortuga gigante de Galápagos,Pangolín chino,Mariposa monarca,Ciervo almizclero,Gorila de río Cross,Cangrejo de los Yeti,Cebra de Grévy,Antílope saiga,Búho nival,Águila harpía,Gato andino,Dragón de Komodo,Oso panda gigante,Águila filipina,Lobo de crin,Pingüino de Galápagos,Buitre egipcio,Delfín rosado del Amazonas,Periquito de Mauricio,Gaviota rosada,Tortuga laúd,Pez espátula chino,Cabra de los Pirineos,Lémur de cola anillada,Mono capuchino de pecho amarillo,Gato de arena,Rana de Darwin,Lagarto de cola de látigo,Ganso nival
1910,37080.0,925.6,4685.04,187600.0,285.6,219976.0,3687.52,528.375,4600.8,92400.0,,23952.852,72113.58,60631.032,86352.42,84225.372,65307.396,55291.236,17625.3,51684.864,85445.052,79879.8,75760.60800000001,57421.98,60774.252,73248.252,31201.632,,56419.44,,49713.048,14013.384,27907.572,42657.384,89205.732,21032.088,48464.724,41747.244,23930.676,5827.668,82758.984,47320.812,76569.10800000001,84648.564,55830.852,57746.304,5038.572,6913.368,74204.592,92271.564,35067.648,20106.24,,,32113.62,74999.232,37384.116,5325.012,71451.072,85364.664,92400.0,8306.76,71589.672,28335.384,35637.756,73879.344,28343.7,92400.0,60708.648,48235.572,24772.44,20434.26,16148.748,78736.812,34029.072,12358.5,70421.736,38968.776,29784.216,76606.992,22917.972,80753.904,39539.808,73167.864,66697.092,92400.0,35682.108,43559.208,52262.364,76730.808,92400.0,92400.0,87282.888,75051.9,9200.0,90284.964,92400.0,73835.916,92123.724,89436.732,81138.288,13258.476
1911,36788.0,918.16,4653.544,186360.0,284.16,218973.6,3656.272,521.2125,4560.88,91640.0,11016.0444,23755.8372,71520.438,60132.3352,85642.162,83532.6092,64770.2356,54836.4596,17480.33,51259.7504,84742.2572,79222.78,75137.4688,56949.678,60274.3772,72645.7772,30944.9952,25171.6752,55955.384,10391.976,49304.1528,13898.1224,27678.0292,42306.5224,88472.0052,20859.0968,48066.0964,,23733.8436,5779.7348,82078.2824,46931.5932,75939.31880000001,83952.3204,55371.6372,57271.3344,,6856.5048,73594.2512,91512.6204,34779.2128,19940.864,81471.6256,36826.4504,31849.482,74382.3552,37076.6276,5281.2132,70863.3792,84662.5304,91640.0,8238.436,71000.8392,28102.3224,35344.6316,73271.6784,28110.57,91640.0,60209.3128,47838.8292,24568.684,20266.186,,78089.1932,33749.1792,12256.85,69842.5096,38648.2536,29539.2376,,,80089.6944,39214.5888,72566.05040000001,66148.5012,91640.0,35388.6188,43200.9288,51832.5004,76099.6888,91640.0,91640.0,86564.9768,74434.59,9120.0,89542.3604,91640.0,73228.6076,91365.9964,88701.1052,80470.9168,13149.4236
1912,36496.0,910.72,4622.048,185120.0,282.72,217971.2,3625.024,514.05,4520.96,,10924.6848,23558.8224,70927.296,59633.6384,84931.904,82839.8464,64233.0752,54381.6832,17335.36,50834.6368,84039.4624,78565.76,74514.3296,,59774.5024,72043.3024,30688.3584,24962.9184,55491.328,10305.792,48895.2576,13782.8608,27448.4864,41955.6608,87738.2784,20686.1056,47667.4688,41060.4928,23537.0112,5731.8016,,46542.3744,75309.5296,83256.0768,54912.4224,56796.3648,4955.6864,6799.6416,72983.9104,,34490.7776,19775.488,80795.9552,36521.0368,31585.344,73765.47839999999,36769.1392,5237.4144,70275.6864,,90880.0,8170.112,70412.0064,27869.2608,,72664.0128,27877.44,90880.0,59709.9776,47442.0864,24364.928,20098.112,15883.0976,77441.5744,33469.2864,12155.2,,38327.7312,29294.2592,75346.7904,22540.9664,79425.4848,38889.3696,71964.2368,65599.9104,90880.0,35095.1296,42842.6496,51402.6368,75468.5696,90880.0,90880.0,85847.0656,73817.28,9040.0,88799.7568,90880.0,72621.2992,90608.2688,87965.47839999999,79803.5456,13040.3712
1913,36204.0,903.28,4590.552,183880.0,281.28,216968.8,3593.776,506.8875,4481.04,90120.0,10833.3252,23361.8076,70334.154,,84221.646,82147.0836,63695.9148,53926.9068,17190.39,50409.5232,83336.6676,77908.74,73891.1904,,59274.6276,71440.8276,30431.7216,24754.1616,55027.272,10219.608,48486.3624,13667.5992,27218.9436,41604.7992,87004.5516,20513.1144,47268.8412,40717.1172,23340.1788,5683.8684,80716.8792,46153.1556,74679.7404,82559.8332,54453.2076,56321.3952,4914.2436,6742.7784,72373.5696,89994.7332,34202.3424,19610.112,80120.2848,36215.6232,31321.206,73148.6016,36461.6508,5193.6156,69687.9936,83258.2632,90120.0,8101.788,69823.1736,27636.1992,34758.3828,72056.3472,27644.31,90120.0,59210.6424,47045.3436,24161.172,19930.038,15750.2724,76793.9556,33189.3936,12053.55,,38007.2088,29049.2808,74716.6896,22352.4636,78761.2752,38564.1504,71362.4232,65051.3196,90120.0,34801.6404,42484.3704,50972.7732,74837.4504,,90120.0,85129.1544,73199.97,8960.0,88057.1532,,72013.9908,89850.5412,87229.8516,,12931.3188
1914,35912.0,895.84,4559.0560000000005,182640.0,279.84,215966.4,3562.528,499.725,4441.12,89360.0,10741.9656,23164.7928,69741.012,58636.2448,83511.388,81454.3208,63158.7544,53472.1304,17045.42,49984.4096,82633.8728,77251.72,73268.0512,55532.772,58774.7528,70838.3528,,24545.4048,54563.216,10133.424,48077.4672,13552.3376,26989.4008,41253.9376,86270.8248,20340.1232,46870.2136,,23143.3464,5635.9352,80036.1776,45763.9368,74049.9512,81863.5896,53993.9928,55846.4256,4872.8008,6685.9152,71763.2288,89235.7896,33913.9072,19444.736,79444.6144,35910.2096,31057.068,,36154.1624,5149.816800000001,69100.3008,82556.1296,89360.0,8033.464,69234.3408,27403.1376,34465.2584,71448.6816,27411.18,89360.0,58711.3072,46648.6008,23957.416,19761.964,15617.4472,76146.3368,,11951.9,68104.8304,37686.6864,28804.3024,74086.5888,22163.9608,78097.0656,38238.9312,70760.6096,64502.7288,,34508.1512,,50542.9096,74206.3312,89360.0,89360.0,84411.2432,72582.66,8880.0,87314.5496,89360.0,71406.6824,89092.8136,86494.2248,78468.8032,12822.2664
1915,35620.0,888.4,4527.56,181400.0,278.4,214964.0,3531.2799999999997,492.5625,4401.2,88600.0,10650.606,22967.778,69147.87,58137.548,82801.13,80761.558,62621.594,53017.354,,49559.296,81931.078,76594.7,72644.912,55060.47,58274.878,70235.878,29918.448,24336.648,54099.16,10047.24,47668.572,13437.076,26759.858,40903.076,85537.098,20167.132,46471.586,40030.366,22946.514,5588.002,79355.476,45374.718,73420.162,81167.346,53534.778,55371.456,,6629.052,71152.888,88476.846,33625.472,19279.36,78768.944,35604.796,30792.93,71914.848,35846.674,5106.018,68512.60800000001,81853.996,88600.0,7965.14,68645.508,27170.076,34172.134,70841.016,27178.05,88600.0,58211.972,46251.858,23753.66,19593.89,15484.622,75498.718,32629.608,11850.25,67525.60399999999,37366.164,28559.324,73456.488,21975.458,77432.856,37913.712,70158.796,63954.138,88600.0,34214.662,41767.812,50113.046,73575.212,88600.0,88600.0,83693.332,71965.35,8800.0,86571.946,88600.0,70799.374,88335.086,85758.598,77801.432,12713.214
1916,35328.0,880.96,4496.064,180160.0,276.96,213961.6,3500.032,485.4,4361.28,87840.0,10559.2464,22770.7632,68554.728,57638.8512,82090.872,80068.7952,62084.4336,52562.5776,,49134.1824,81228.2832,75937.68,72021.7728,54588.168,57775.0032,69633.4032,29661.8112,24127.8912,53635.104,9961.056,47259.6768,13321.8144,26530.3152,40552.2144,84803.3712,19994.1408,46072.9584,39686.9904,22749.6816,5540.0688,78674.7744,44985.4992,72790.3728,80471.1024,53075.5632,54896.4864,4789.915199999999,6572.1888,70542.5472,87717.9024,33337.0368,19113.984,78093.2736,35299.3824,30528.792,71297.9712,35539.1856,5062.2192,67924.9152,81151.8624,87840.0,7896.816,68056.6752,26937.0144,,70233.3504,26944.92,87840.0,57712.6368,45855.1152,23549.904,19425.816,15351.7968,74851.0992,32349.7152,11748.6,66946.3776,37045.6416,28314.3456,72826.3872,21786.9552,76768.6464,37588.4928,69556.98240000001,63405.5472,87840.0,33921.1728,41409.5328,49683.1824,72944.0928,87840.0,87840.0,82975.42079999999,71348.04000000001,8720.0,85829.3424,87840.0,70192.0656,87577.3584,85022.9712,77134.0608,12604.1616
1917,35036.0,873.52,4464.568,178920.0,275.52,212959.2,3468.784,478.2375,4321.36,,10467.8868,22573.7484,,57140.1544,81380.614,79376.0324,61547.2732,52107.8012,,48709.0688,80525.4884,75280.66,71398.6336,54115.866,57275.1284,69030.9284,29405.1744,23919.1344,53171.048,9874.872,46850.7816,13206.5528,26300.7724,40201.3528,84069.6444,19821.1496,45674.3308,39343.6148,22552.8492,5492.1356,77994.0728,44596.2804,72160.5836,79774.8588,52616.3484,54421.5168,,6515.3256,69932.2064,86958.9588,33048.6016,18948.608,77417.6032,34993.9688,30264.654,70681.0944,35231.6972,5018.4204,67337.2224,80449.7288,,7828.492,67467.8424,26703.9528,33585.8852,,26711.79,87080.0,57213.3016,45458.3724,23346.148,19257.742,15218.9716,74203.4804,32069.8224,11646.95,66367.1512,36725.1192,28069.3672,,21598.4524,76104.4368,37263.2736,68955.1688,62856.9564,87080.0,33627.6836,41051.2536,49253.3188,72312.9736,87080.0,87080.0,,70730.73,8640.0,85086.73879999999,87080.0,69584.7572,86819.6308,84287.3444,76466.6896,12495.1092
1918,34744.0,866.0799999999999,4433.072,177680.0,274.08,211956.8,3437.536,471.07500000000005,4281.44,86320.0,10376.5272,22376.7336,67368.444,56641.4576,80670.356,78683.2696,61010.1128,51653.0248,16465.54,48283.9552,79822.6936,74623.64,70775.4944,53643.564,56775.2536,68428.4536,29148.5376,23710.3776,52706.992,9788.688,,13091.2912,26071.2296,39850.4912,83335.9176,19648.1584,45275.7032,39000.2392,22356.0168,5444.2024,77313.3712,44207.0616,71530.7944,79078.6152,52157.1336,53946.5472,4707.0296,6458.4624,69321.8656,86200.0152,,18783.232,76741.9328,34688.5552,30000.516,70064.2176,34924.2088,4974.6216,66749.5296,79747.5952,86320.0,7760.168,66879.0096,26470.8912,33292.7608,,26478.66,,56713.9664,45061.6296,23142.392,19089.668,15086.1464,73555.8616,31789.9296,11545.3,65787.92480000001,36404.5968,27824.3888,71566.1856,21409.9496,75440.2272,36938.0544,68353.3552,62308.3656,,33334.1944,40692.9744,48823.4552,71681.8544,86320.0,86320.0,81539.5984,70113.42,8560.0,84344.1352,86320.0,68977.4488,86061.9032,83551.7176,75799.3184,12386.0568
1919,34452.0,858.64,4401.576,176440.0,272.64,210954.4,3406.288,463.9125,4241.52,85560.0,10285.1676,22179.7188,66775.302,56142.7608,79960.098,77990.5068,60472.9524,51198.2484,16320.57,47858.8416,79119.8988,73966.62,70152.3552,53171.262,56275.3788,67825.9788,28891.9008,23501.6208,52242.936,9702.504,46032.9912,,,39499.6296,82602.1908,19475.1672,44877.0756,38656.8636,22159.1844,5396.2692,76632.6696,43817.8428,70901.0052,78382.3716,51697.9188,53471.5776,4665.5868,6401.599200000001,68711.5248,85441.0716,32471.7312,18617.856,76066.2624,34383.1416,29736.378,69447.3408,34616.7204,4930.8228,66161.8368,79045.4616,85560.0,7691.844,66290.1768,26237.8296,32999.6364,68410.3536,26245.53,85560.0,56214.6312,44664.8868,22938.636,18921.594,,72908.24279999999,31510.0368,11443.65,65208.6984,36084.0744,27579.4104,70936.0848,,74776.01759999999,36612.8352,67751.5416,61759.7748,85560.0,33040.7052,40334.6952,48393.5916,71050.7352,85560.0,85560.0,80821.6872,69496.11,8480.0,83601.5316,85560.0,68370.1404,85304.1756,82816.0908,75131.9472,12277.0044
1920,34160.0,851.2,4370.08,175200.0,271.2,209952.0,3375.04,456.75,4201.6,84800.0,10193.808,21982.704,66182.16,55644.064,79249.84,77297.744,59935.792,50743.472,16175.6,47433.728,78417.10399999999,73309.6,69529.216,52698.96,55775.504,67223.504,28635.264,23292.864,51778.88,9616.32,45624.096,12860.768,25612.144,39148.768,81868.464,19302.176,44478.448,38313.488,21962.352,5348.336,,43428.624,70271.216,77686.128,51238.704,52996.608,4624.144,6344.736,68101.184,84682.128,32183.296,18452.48,75390.592,34077.728,29472.24,68830.464,34309.232,4887.024,65574.144,78343.328,84800.0,7623.52,65701.344,26004.768,32706.512,67802.688,26012.4,84800.0,55715.296,44268.144,22734.88,18753.52,14820.496,72260.624,31230.144,11342.0,64629.472,35763.552,27334.432,70305.984,21032.944,74111.808,36287.616,67149.728,61211.184,84800.0,32747.216,39976.416,47963.728,70419.616,84800.0,,80103.776,68878.8,8400.0,82858.928,84800.0,67762.832,84546.448,82080.464,74464.576,12167.952
