nombre,nombre_cientifico,estado,amenazas,organizaciones,acciones_recomendadas
goldfish,Carassius auratus,No amenazada,Invasividad;Liberación irresponsable,Pet Watch,Educación;No liberar mascotas
goose,Anser anser,No amenazada,Caza recreativa,None,Regulación de caza
gorilla,Gorilla beringei,En peligro,Caza furtiva;Enfermedades;Deforestación,WWF; Dian Fossey Fund,Protección armada;Programas de conservación comunitaria
grasshopper,Caelifera,Vulnerable,Pérdida de hábitat;Pesticidas,Invertebrate Conservation Trust,Reducción de químicos;Protección de pastizales
hamster,Cricetinae,No amenazada,Cría masiva;Liberación inadecuada,None,Tenencia responsable;Control de reproducción
hare,Lepus europaeus,Vulnerable,Caza;Fragmentación del hábitat,Wildlife Trusts,Protección de zonas rurales;Regulación de caza
hedgehog,Erinaceus europaeus,Vulnerable,Atropellos;Fragmentación urbana,Hedgehog Preservation Society,Pasos de fauna;Educación vecinal
hippopotamus,Hippopotamus amphibius,Vulnerable,Conflictos con humanos;Pérdida de humedales,IUCN; African Wildlife Foundation,Monitoreo;Protección de hábitats ribereños
hornbill,Bucerotidae,Vulnerable,Tala de árboles de anidación;Tráfico ilegal,BirdLife International;WWF,Protección de bosques;Educación comunitaria
horse,Equus ferus caballus,No amenazada,Manejo no ético,None,Fomento del bienestar animal;Educación ecuestre
hummingbird,Trochilidae,No amenazada,Destrucción de jardines;Cambio climático,Audubon Society,Promoción de jardines con flora nativa
hyena,Hyaenidae,Vulnerable,Estigmatización;Pérdida de presas naturales,African Wildlife Foundation,Educación;Conservación de ecosistemas abiertos
jellyfish,Scyphozoa,No amenazada,Cambio climático;Contaminación marina,Marine Conservation Institute,Monitoreo de ecosistemas marinos
kangaroo,Macropodidae,No amenazada,Colisiones vehiculares;Caza regulada,Australian Wildlife Conservancy,Señalización vial;Monitoreo poblacional
koala,Phascolarctos cinereus,En peligro,Deforestación;Incendios forestales,WWF; Koala Foundation,Protección de eucaliptales;Rescate post-incendios
ladybugs,Coccinellidae,No amenazada,Pesticidas;Especies invasoras,Insect Conservation Trust,Promoción de jardines orgánicos
leopard,Panthera pardus,En peligro,Caza furtiva;Fragmentación,Panthera;WWF,Monitoreo satelital;Protección legal
lion,Panthera leo,En peligro,Caza deportiva;Pérdida de presas naturales,WWF; African Parks,Educación comunitaria;Refugios protegidos
lizard,Lacertilia,No amenazada,Pérdida de microhábitats,None,Protección de zonas rocosas;Evitar químicos
lobster,Nephropidae,Vulnerable,Pesca excesiva;Contaminación marina,Marine Stewardship Council,Regulación de pesca;Protección de criaderos
mosquito,Culicidae,No amenazada,Control químico masivo,None,Promoción de control biológico;Educación sanitaria
moth,Lepidoptera,No amenazada,Contaminación lumínica;Pérdida de flora huésped,None,Reducción de luz artificial;Promoción de biodiversidad
mouse,Mus musculus,No amenazada,Plagas urbanas,None,Manejo ético;Evitar uso de venenos masivos
octopus,Octopoda,Vulnerable,Pesca intensiva;Contaminación,Ocean Conservancy;WWF,Pesca sostenible;Monitoreo de hábitats
okapi,Okapia johnstoni,En peligro,Caza furtiva;Destrucción de selvas,IUCN; WWF,Protección del Congo;Educación comunitaria
orangutan,Pongo pygmaeus,En peligro crítico,Deforestación;Tráfico de crías,Orangutan Foundation;WWF,Protección de selvas;Rehabilitación
otter,Lutrinae,Vulnerable,Contaminación del agua;Pérdida de riberas,WWF; Otter Conservation Group,Protección de humedales;Educación local
owl,Strigiformes,Vulnerable,Pérdida de árboles;Contaminación lumínica,BirdLife International,Protección de zonas de anidación
ox,Bos primigenius,Extinto en estado silvestre,Desaparición del hábitat;Caza,WWF (referencia genética),Conservación genética;Programas de reintroducción
oyster,Ostreidae,Vulnerable,Contaminación;Sobrepesca,The Nature Conservancy,Restauración de arrecifes;Regulación de recolección
panda,Ailuropoda melanoleuca,En peligro,Caza;Pérdida de bambú,WWF; China Conservation & Research Center,Protección de hábitats;Cría en cautiverio
parrot,Psittaciformes,Vulnerable,Tráfico ilegal;Pérdida de hábitat,BirdLife International,Educación;Prohibición de comercio
pelecaniformes,Pelecaniformes,No amenazada,Pérdida de zonas húmedas,None,Protección de lagunas;Monitoreo de población
penguin,Spheniscidae,Vulnerable,Cambio climático;Derrames de petróleo,WWF; Global Penguin Society,Protección de costas;Regulación pesquera
pig,Sus scrofa,No amenazada,Condiciones de cría industrial,None,Promoción de bienestar animal
pigeon,Columbidae,No amenazada,Contaminación urbana;Sobrepoblación,None,Estrategias de control ético
porcupine,Hystricidae,No amenazada,Caza local;Pérdida de refugios,None,Educación rural;Protección de zonas rocosas
possum,Phalangeriformes,No amenazada,Tráfico ilegal;Depredadores introducidos,Wildlife Victoria,Protección de bosques nativos
raccoon,Procyon lotor,No amenazada,Conflictos urbanos,None,Educación;Evitar alimentación humana
rat,Rattus spp.,No amenazada,Plagas urbanas,None,Control ético;Educación sobre higiene urbana
reindeer,Rangifer tarandus,Vulnerable,Cambio climático;Pérdida de musgo,IUCN; Polar Research Institute,Protección del ártico;Monitoreo de rutas migratorias
rhinoceros,Rhinocerotidae,En peligro crítico,Caza furtiva;Tráfico de cuernos,WWF; Save the Rhino,Protección armada;Monitoreo satelital
sandpiper,Scolopacidae,Vulnerable,Pérdida de humedales;Cambio climático,BirdLife International,Protección de rutas migratorias
seahorse,Hippocampus spp.,Vulnerable,Pesca para medicina tradicional;Pérdida de corales,Project Seahorse,Prohibición de comercio;Protección de arrecifes
seal,Pinnipedia,Vulnerable,Redes de pesca;Cambio climático,WWF; Ocean Conservancy,Protección de costas;Monitoreo de colonias
shark,Selachimorpha,En peligro,Caza de aletas;Sobrepesca,Oceana; Shark Trust,Educación;Prohibición de comercio de aletas
sheep,Ovis aries,No amenazada,Manejo intensivo;Exceso de pastoreo,None,Manejo sostenible del ganado
snake,Serpentes,No amenazada,Caza;Pérdida de hábitat,None,Educación sobre biodiversidad;Protección de entornos naturales
sparrow,Passeridae,No amenazada,Contaminación urbana;Pérdida de zonas verdes,None,Promoción de jardines urbanos
squid,Teuthida,No amenazada,Pesca comercial;Cambio en corrientes oceánicas,None,Investigación y manejo pesquero
squirrel,Sciuridae,No amenazada,Fragmentación urbana;Tráfico vial,None,Corredores ecológicos;Educación comunitaria
starfish,Asteroidea,No amenazada,Contaminación oceánica;Blanqueamiento,None,Protección de arrecifes
swan,Cygnus spp.,No amenazada,Contaminación;Disturbios humanos,Duck Unlimited,Protección de lagos y lagunas
tiger,Panthera tigris,En peligro crítico,Caza furtiva;Pérdida de hábitat,WWF; Panthera,Refugios protegidos;Educación local
turkey,Meleagris gallopavo,No amenazada,Caza recreativa,None,Regulación de caza
turtle,Cheloniidae,En peligro,Caza;Contaminación marina;Luz artificial,Sea Turtle Conservancy,Protección de playas;Reducción de plásticos
whale,Cetacea,Vulnerable,Caza;Contaminación acústica;Redes,Oceana; IWC,Protección internacional;Regulación de tráfico marítimo
wolf,Canis lupus,Vulnerable,Conflictos con ganaderos;Caza ilegal,WWF; Defenders of Wildlife,Corredores biológicos;Educación rural
wombat,Vombatidae,No amenazada,Deforestación;Carreteras,None,Protección de bosques;Cruces seguros
woodpecker,Picidae,No amenazada,Tala de árboles antiguos,None,Protección de zonas boscosas
zebra,Equus zebra,Vulnerable,Pérdida de sabanas;Caza furtiva,WWF; African Wildlife Foundation,Monitoreo de hábitats;Educación local
