nombre,descripcion,estado,imagen,nombre_cientifico,acciones_recomendadas,organizaciones,amenazas,habitat,reubicacion
Geco de cola de hoja satánico,Reptil camuflado de Madagascar maestro del mimetismo.,86,img/monitoreo/22_geco.webp,Uroplatus phantasticus,"Evitar comercio de mascotas exóticas, apoyar conservación de bosques","Madagascar Fauna and Flora Group","Pérdida de hábitat por deforestación agrícola y maderera, captura ilegal para el comercio de mascotas","Bosques húmedos de Madagascar","Reservas forestales protegidas de Andasibe-Mantadia y Ranomafana"
Pez napoleón,Colorido pez de arrecife perseguido por su tamaño y carne exótica.,82,img/monitoreo/23_pez.webp,Cheilinus undulatus,"Consumir mariscos sostenibles, apoyar protección de arrecifes","Reef Check, Coral Triangle Initiative","Sobrepesca por demanda de lujo, pesca ilegal no regulada, destrucción de arrecifes coralinos","Arrecifes de coral del océano Índico y Pacífico","Áreas marinas protegidas como Raja Ampat (Indonesia) y la Gran Barrera de Coral"
Rana dorada de Panamá,Anfibio brillante y emblemático víctima de una epidemia fúngica.,62,img/monitoreo/24_rana.webp,Atelopus zeteki,"Apoyar investigaciones médicas, conservar microhábitats","Panama Amphibian Rescue","Infección por hongo quítrido, destrucción de su hábitat forestal, contaminación de fuentes hídricas","Bosques húmedos montañosos de Panamá","Centro de Conservación El Valle y áreas de microhábitat controladas en cautiverio"
Ciempiés gigante amazónico,Invertebrado depredador del suelo clave para el equilibrio ecológico.,66,img/monitoreo/25_ciempies.webp,Scolopendra gigantea,"Proteger selvas tropicales, evitar comercio de especies exóticas","Amazon Conservation Association","Pérdida de hábitat por deforestación, captura para comercio exótico y coleccionismo","Selvas tropicales de Sudamérica","Reservas biológicas del Amazonas como Tambopata (Perú) y Yasuni (Ecuador)"
Águila monera,Depredador aéreo poderoso y símbolo nacional filipino.,79,img/monitoreo/26_aguila.webp,Pithecophaga jefferyi,"Apoyar reservas naturales, participar en educación ambiental","Philippine Eagle Foundation","Caza por tradición o superstición, pérdida de bosque primario por tala, reproducción lenta","Bosques tropicales de montaña en Filipinas","Santuarios forestales en Mindanao como Monte Kitanglad y Monte Apo"
Caracol tigre de Borneo,Caracol de colores vivos esencial en la descomposición orgánica de su hábitat.,34,img/monitoreo/27_caracol.webp,Vittina waigiensis,"Proteger ecosistemas ribereños, evitar contaminación","WWF Malasia","Contaminación del agua por agricultura y minería, recolección excesiva para acuarismo","Riberas y manglares de Borneo","Áreas ribereñas protegidas del Parque Nacional Gunung Mulu"
Murciélago de la isla de Navidad,Murciélago endémico y polinizador único en su tipo.,27,img/monitoreo/28_murci.webp,Pipistrellus murrayi,"Limitar especies invasoras, apoyar monitoreo de cuevas","Bat Conservation International","Infecciones por patógenos, depredación por especies introducidas como gatos y hormigas locas, pérdida de refugios","Cuevas y bosques de la isla de Navidad","Zonas núcleo del Parque Nacional de la Isla de Navidad con control de especies invasoras"
Langur de Delacour,Primate de Vietnam con pelaje blanco y negro muy amenazado.,61,img/monitoreo/29_langur.webp,Trachypithecus delacouri,"Proteger hábitats montañosos","Fauna & Flora International","Deforestación para agricultura y minería, caza por consumo y medicina tradicional","Bosques kársticos de Vietnam","Reserva Natural Van Long con vigilancia activa y proyectos comunitarios"
Pez sierra verde,Extraño pez con hocico dentado en forma de sierra muy escaso.,15,img/monitoreo/30_pez.webp,Pristis zijsron,"Apoyar reservas marinas","Shark Trust","Captura incidental en redes de arrastre, pérdida de hábitat costero por urbanización y dragado","Zonas costeras tropicales, estuarios y manglares","Refugios marinos como el Parque Marino Shark Bay (Australia)"
Cangrejo de los cocoteros,El mayor artrópodo terrestre del mundo trepa árboles por cocos.,54,img/monitoreo/31_cangrejo.webp,Birgus latro,"Respetar áreas protegidas","IUCN","Sobreexplotación para consumo humano, pérdida de vegetación costera, tráfico ilegal como curiosidad","Islas tropicales del Indo-Pacífico","Islas protegidas como Aldabra (Seychelles) y Pukapuka (Islas Cook)"
Pato serrucho brasileño,Pato raro de ríos limpios en Brasil extremadamente amenazado.,15,img/monitoreo/32_pato.webp,Mergus octosetaceus,"Proteger cuencas hídricas","BirdLife International","Contaminación de ríos por agroquímicos, deforestación ribereña, alteración del flujo de agua","Ríos de aguas claras y bosques riparios de Brasil","Parque Nacional da Chapada dos Veadeiros y áreas fluviales protegidas del río Jequitinhonha"
Salamandra gigante china,El mayor anfibio del mundo se encuentra en severo declive.,30,img/monitoreo/33_salamandra.webp,Andrias davidianus,"Apoyar proyectos de cría","Edge of Existence","Contaminación de ríos, captura para consumo tradicional, pérdida de hábitat acuático","Ríos y arroyos de montaña en China","Reservas de cría como Zhangjiajie y programas de repoblación en hábitats restaurados"
Gacela de Cuvier,Hermosa gacela del norte de África muy afectada por la caza.,46,img/monitoreo/34_gace.webp,Gazella cuvieri,"Evitar la caza furtiva","Sahara Conservation Fund","Caza ilegal, fragmentación de su hábitat por expansión agrícola y asentamientos humanos","Zonas montañosas y semiáridas del norte de África","Reservas naturales como Djebel Babor (Argelia) y Bou Hedma (Túnez)"
Pez ángel de Clarión,Pez colorido endémico del Pacífico mexicano vulnerable por comercio.,97,img/monitoreo/35_pez.webp,Holacanthus clarionensis,"Apoyar monitoreos en islas protegidas","Revillagigedo National Park","Captura ilegal para acuarismo, impactos del turismo sin control","Arrecifes de las islas Revillagigedo","Parque Nacional Revillagigedo con protección estricta"
Tortuga gigante de Aldabra,Una de las tortugas más grandes del mundo ícono de conservación.,23,img/monitoreo/36_tortuga.webp,Aldabrachelys gigantea,"Apoyar programas de reproducción","Island Conservation","Competencia con especies invasoras, impacto del cambio climático en fuentes de agua","Atolón de Aldabra en el océano Índico","Reserva Natural Especial de Aldabra (Seychelles), Patrimonio de la Humanidad"
Mono araña de cabeza negra,Primate arborícola ágil en declive por pérdida de selva.,52,img/monitoreo/37_mono.webp,Ateles fusciceps,"Apoyar reforestación","Rainforest Trust","Tala ilegal, caza para alimento o tráfico, fragmentación del dosel arbóreo","Selvas tropicales de Colombia y Ecuador","Corredores biológicos restaurados entre reservas como Chocó Andino y La Planada"
Pez payaso de Mauritania,Colorido pez de arrecife endémico poco conocido.,45,img/monitoreo/38_pez.webp,Amphiprion mauritanicus,"Evitar captura comercial","WWF Mauritania","Contaminación marina por hidrocarburos, sobrepesca en zonas coralinas","Arrecifes de coral del Atlántico oriental frente a Mauritania","Áreas marinas protegidas en Banc d’Arguin"
Tortuga de caparazón blando de Shanghái,Una de las tortugas más raras del mundo casi extinta.,26,img/monitoreo/39_tortuga.webp,Rafetus swinhoei,"Apoyar reproducción en cautiverio","Asian Turtle Program","Pérdida crítica de hábitat acuático, reproducción extremadamente limitada, contaminación de ríos","Lagos y ríos de agua dulce del este de China y Vietnam","Santuarios acuáticos monitoreados como Suzhou y zonas de reproducción en cautiverio"
Loro orejiamarillo,Loro colombiano en recuperación símbolo de esperanza para su hábitat.,6,img/monitoreo/40_loro.webp,Ognorhynchus icterotis,"Apoyar programas de reintroducción","ProAves","Destrucción del hábitat por expansión agrícola y tala de palmas de cera, caza para tráfico de mascotas","Bosques andinos húmedos y montanos de Colombia","Reservas como la Cueva de los Guácharos y Serranías de los Yariguíes"
Pez guitarra común,Pez cartilaginoso entre tiburón y raya con cuerpo plano.,89,img/monitoreo/41_pez.webp,Rhinobatos rhinobatos,"Proteger zonas costeras","Shark Advocates","Sobrepesca dirigida y accidental, pérdida de hábitat costero por urbanización y contaminación","Fondos arenosos y fangosos en zonas costeras, estuarios y bahías","Zonas costeras protegidas como el Parque Nacional de Doñana (España)"
Cerceta pardilla,Pato pequeño y discreto en humedales del Mediterráneo muy escaso.,51,img/monitoreo/42_cerceta.webp,Marmaronetta angustirostris,"Conservar humedales","SEO/BirdLife","Drenaje de humedales, caza ilegal, perturbación humana, contaminación del agua","Humedales poco profundos, marismas y lagunas del Mediterráneo","Reservas Ramsar como Doñana (España), Ammiq (Líbano), Delta del Nilo (Egipto)"
Pez sapo de Borneo,Pez poco conocido con cuerpo camuflado amenazado por contaminación.,21,img/monitoreo/43_pez.webp,Batrachomoeus trispinosus,"Estudiar sus poblaciones","EDGE of Existence","Contaminación de aguas dulces y salobres, falta de datos científicos","Estuarios, manglares y fondos fangosos de Borneo","Manglares del Parque Nacional de Tanjung Puting con control de vertidos"
Tortuga estrellada de Birmania,Especie con caparazón único en forma de estrella muy codiciada.,91,img/monitoreo/44_tortuga.webp,Geochelone platynota,"Evitar tráfico ilegal","Wildlife Conservation Society","Comercio ilegal de mascotas exóticas, pérdida de hábitat","Bosques secos y sabanas del sudeste asiático","Santuarios de conservación como Lawkananda y programas de cría ex situ"
Pez loro bicolor,Pez tropical que ayuda a limpiar los arrecifes colorido y vital.,60,img/monitoreo/45_pez.webp,Scarus bicolor,"Conservar arrecifes","Coral Triangle Initiative","Pesca excesiva, degradación del arrecife por turismo y contaminación","Arrecifes de coral del Indo-Pacífico","Áreas marinas protegidas como Bunaken (Indonesia) y Tubbataha (Filipinas)"
Gorrión de Worthen,Pequeña ave endémica de México extremadamente rara.,62,img/monitoreo/46_gorrion.webp,Spizella wortheni,"Apoyar monitoreo poblacional","Pronatura","Fragmentación del hábitat, escasa visibilidad científica y social","Pastizales semiáridos del noreste de México","Áreas protegidas como Matorrales de Galeana y proyectos comunitarios de restauración"
Pez ángel emperador,Impresionante pez de arrecife muy afectado por el comercio ornamental.,5,img/monitoreo/47_pez.webp,Pomacanthus imperator,"Evitar capturas comerciales","Reef Check","Captura ilegal para acuarios, degradación del hábitat por blanqueamiento coralino","Arrecifes de coral tropicales del Indo-Pacífico","Zonas de reserva como el Santuario Marino de Apo Reef y Misool (Indonesia)"
Tortuga de caja de Indochina,Tortuga terrestre muy afectada por el tráfico internacional.,7,img/monitoreo/48_tortuga.webp,Cuora galbinifrons,"Apoyar santuarios","Asian Turtle Conservation Network","Comercio ilegal para consumo y medicina tradicional, deforestación","Bosques húmedos tropicales del sudeste asiático","Centros de rescate como Cuc Phuong Turtle Conservation Center y reservas naturales de Laos y Vietnam"
Pez cirujano de aleta amarilla,Famoso pez de arrecife muy popular y cada vez más escaso.,80,img/monitoreo/49_pez.webp,Zebrasoma flavescens,"Criar en cautiverio, proteger arrecifes","Marine Aquarium Council","Captura excesiva, degradación de hábitat por acidificación oceánica","Arrecifes coralinos del Pacífico central y occidental","Áreas de protección en Hawái como Papahānaumokuākea Marine National Monument"
Pez ballesta payaso,Pez de apariencia llamativa cada vez más amenazado.,99,img/monitoreo/50_pez.webp,Balistoides conspicillum,"Proteger arrecifes, evitar comercio ilegal","WWF","Captura para acuarios ornamentales, turismo agresivo no regulado","Arrecifes tropicales del Indo-Pacífico","Áreas marinas protegidas como Raja Ampat y el Parque Marino de Komodo"
Pez mariposa de bandas de cobre,Pez tropical de arrecifes con patrones llamativos y comportamiento territorial.,38,img/monitoreo/51_pez.webp,Chaetodon auriga,"Proteger arrecifes","Reef Watch","Degradación de hábitat, comercio ornamental no sostenible","Arrecifes coralinos del océano Índico y Pacífico","Reservas marinas como Great Barrier Reef y Maldivas Baa Atoll"
Pez león rojo,Pez invasor en algunas regiones pero vulnerable en su hábitat natural.,22,img/monitoreo/52_pez.webp,Pterois volitans,"Control en zonas invadidas, conservación en origen","NOAA","Captura excesiva en zonas nativas, tráfico internacional","Arrecifes de coral del Indo-Pacífico y Mar Rojo","Zonas protegidas como el Parque Nacional Ras Mohammed (Egipto)"
Pez escorpión de aletas voladoras,Pez venenoso de arrecife con aletas llamativas como alas.,89,img/monitoreo/53_pez.webp,Dendrochirus brachypterus,"Evitar pesca incidental","Marine Life Society","Pesca accidental, degradación del hábitat por contaminación","Arrecifes tropicales con sustrato rocoso del Pacífico occidental","Zonas rocosas protegidas como arrecifes en Palau y Filipinas"
Pez piedra,Pez camuflado muy venenoso difícil de detectar en el fondo marino.,40,img/monitoreo/54_pez.webp,Synanceia verrucosa,"Evitar perturbaciones en arrecifes","Ocean Conservancy","Turismo no regulado, contaminación costera","Fondos coralinos y arenosos de lagunas y arrecifes en el Indo-Pacífico","Lagunas protegidas y zonas de buceo regulado en Fiji y Australia"
Ocelote,Felino americano de hábitos nocturnos afectado por la pérdida de selvas.,35,img/monitoreo/55_ocelote.webp,Leopardus pardalis,"Conservar corredores biológicos","Panthera","Deforestación por agricultura y expansión urbana, atropellamientos","Selvas tropicales y subtropicales de América Latina","Corredores biológicos como el Mesoamerican Biological Corridor"
Zorro de Darwin,Zorro endémico de Chile con pelaje oscuro altamente amenazado.,81,img/monitoreo/56_zorro.webp,Lycalopex fulvipes,"Apoyar vigilancia de áreas protegidas","Fauna Australis","Pérdida de hábitat, enfermedades transmitidas por perros domésticos","Bosques templados húmedos del sur de Chile","Parques Nacionales como Nahuelbuta y Chiloé"
Gavial del Ganges,Reptil con hocico alargado y delgado especializado en cazar peces.,40,img/monitoreo/57_gavial.webp,Gavialis gangeticus,"Proteger riberas del río Ganges","Wildlife Trust of India","Contaminación del río, construcción de represas, pesca con redes","Ríos profundos y arenosos del subcontinente indio","Santuarios como el National Chambal Sanctuary (India)"
Pez loro azul,Pez tropical que mantiene sanos los arrecifes comiendo algas.,6,img/monitoreo/58_pez.webp,Scarus coeruleus,"Proteger zonas de reproducción","Blue Ocean Institute","Sobrepesca, pérdida de arrecifes coralinos","Arrecifes de coral del mar Caribe y Atlántico occidental","Áreas protegidas como los Cayos de Florida y Parque Nacional de los Arrecifes de Belice"
Caimán del Orinoco,Reptil de gran tamaño típico de ríos sudamericanos vulnerable por caza.,12,img/monitoreo/59_caiman.webp,Caiman crocodilus,"Fortalecer criaderos","Fundación Omacha","Caza para cuero, pérdida de hábitat por represas y contaminación","Ríos y humedales tropicales de Sudamérica","Zonas controladas como los Llanos venezolanos y colombianos"
Tapir malayo,Mamífero grande de Asia con cuerpo negro y blanco muy tímido.,92,img/monitoreo/60_tapir.webp,Tapirus indicus,"Proteger selvas tropicales","Tapir Specialist Group","Pérdida de hábitat por agricultura, caza furtiva","Selvas húmedas del sudeste asiático","Reservas naturales como Taman Negara (Malasia) y Way Kambas (Indonesia)"
Lobo etíope,Canino africano que vive en zonas montañosas el más raro del mundo.,100,img/monitoreo/61_lobo.webp,Canis simensis,"Fortalecer monitoreo de poblaciones","Born Free Foundation","Fragmentación del hábitat por agricultura, enfermedades caninas","Pastizales afroalpinos de Etiopía","Parques Nacionales como Bale Mountains (Etiopía)"
Mofeta moteada pigmea,La mofeta más pequeña del mundo endémica de México y poco estudiada.,9,img/monitoreo/62_mofeta.webp,Spilogale pygmaea,"Estudiar sus poblaciones","UNAM","Pérdida de hábitat, falta de estudios ecológicos","Bosques tropicales secos del occidente de México","Áreas naturales protegidas como Chamela-Cuixmala (Jalisco)"
Tortuga mapa de Barbour,Tortuga acuática con patrones distintivos afectada por tráfico ilegal.,77,img/monitoreo/63_tortuga.webp,Graptemys barbouri,"Regular comercio de mascotas","Turtle Survival Alliance","Captura para mascotas, contaminación de ríos","Ríos y cuerpos de agua dulce del sudeste de EE. UU.","Zonas de conservación fluvial como el río Apalachicola"
Tiburón duende,Tiburón de aguas profundas con hocico largo y aspecto prehistórico.,31,img/monitoreo/64_tiburon.webp,Mitsukurina owstoni,"Evitar pesca de arrastre","Deep Sea Conservation Coalition","Pesca de arrastre en aguas profundas, falta de conocimiento","Taludes continentales y aguas abisales del océano Atlántico y Pacífico","Áreas de exclusión de pesca profunda como la dorsal mesoatlántica"
Iguana azul,Endémica de las Islas Caimán con colores vibrantes muy amenazada por la captura ilegal.,38,img/monitoreo/65_iguana.webp,Cyclura lewisi,"National Trust for the Cayman Islands","Caza furtiva, pérdida de hábitat por urbanización","Bosques secos y rocosos de Gran Caimán","Reserva Botánica Queen Elizabeth II y programa de recuperación de la iguana azul"
Gacela dama,Gacela nativa de África del Norte vulnerable por la caza y la competencia con ganado.,79,img/monitoreo/66_gacela.webp,Nanger dama,"Fomentar áreas de conservación","Wildlife Conservation Society","Caza ilegal, competencia con ganado doméstico","Sabanas áridas y desiertos de África occidental","Reservas como el Parque Nacional Termit Tin-Toumma (Níger)"
Pato eider de Steller,Pato marino vulnerable conocido por su plumaje y su hábito de anidar en acantilados.,30,img/monitoreo/67_pato.webp,Polysticta stelleri,"Monitorear poblaciones de anidación","BirdLife International","Pérdida de hábitat por petróleo y cambio climático","Costas árticas y subárticas del Pacífico norte","Zonas protegidas como las Islas Aleutianas y Kamchatka"
Caballo de Przewalski,Última especie de caballo verdaderamente salvaje amenazada por la caza y la pérdida de hábitat.,100,img/monitoreo/68_caballo.webp,Equus ferus przewalskii,"Reintroducción en la naturaleza","World Wildlife Fund","Pérdida de hábitat, competencia con ganado, caza","Estepas semiáridas de Asia Central","Reservas como el Parque Nacional Hustai (Mongolia)"
Guacamayo de Spix,Conocido como el guacamayo azul extinto en la naturaleza pero con esfuerzos de conservación.,65,img/monitoreo/69_guacamayo.webp,Cyanopsitta spixii,"Reintroducción en la naturaleza","Al-Wabra Wildlife Preservation","Captura ilegal para mascotas, pérdida de hábitat","Bosques secos ribereños del noreste de Brasil","Áreas de reintroducción en la región de Curaçá, Bahía (Brasil)"
Gato de Pallas,Felino de las estepas asiáticas muy discreto y con un pelaje denso amenazado por la caza.,52,img/monitoreo/70_gato.webp,Otocolobus manul,"WWF","Caza por piel, pérdida de hábitat por pastoreo","Estepas rocosas y pastizales de Asia Central","Reservas de pastizales como Daursky Biosphere Reserve (Rusia/Mongolia)"
Dugongo,Mamífero marino similar a los manatíes con un bajo índice de reproducción y amenazado por la captura accidental.,26,img/monitoreo/71_dugongo.webp,Dugong dugon,"Protección de zonas marinas","Marine Conservation Society","Captura accidental, colisión con embarcaciones, degradación de pastos marinos","Aguas costeras tropicales del Indo-Pacífico","Áreas marinas protegidas como el Parque Marino de la Bahía de Moreton (Australia)"
Zorro isleño,Zorro nativo de las Islas Channel muy vulnerable debido a su reducido hábitat.,22,img/monitoreo/72_zorro.webp,Urocyon littoralis,"Proteger áreas insulares","Channel Islands National Park","Predadores introducidos, pérdida de hábitat","Islas del Canal, California (EE. UU.)","Channel Islands National Park (California, EE. UU.)"
